Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
All,0.93361921299472,0.878031014050177,0.935054860629387,-0.00307544578064463,0.0663807870052799,0.0635050696795887
4,0.983431952662722,0.970794392523365,0.985180794309425,-0.003556609365738,0.0165680473372781,0.0130641330166271
11,0.975641025641026,0.950655840099938,0.974703810438681,0.00192122958693564,0.0243589743589744,0.0262316058861164
23,0.974212034383954,0.941828254847645,0.970042796005706,0.00855920114122682,0.0257879656160458,0.0340909090909091
30,0.970534069981584,0.958181818181818,0.978644382544104,-0.0167130919220056,0.0294659300184162,0.0131086142322097
31,0.988323603002502,0.980960264900662,0.990388633514417,-0.00417885499373172,0.0116763969974979,0.00753768844221105
32,0.992395437262357,0.983977379830349,0.991923990498812,0.000950118764845606,0.00760456273764259,0.00854700854700855
35,0.993577654314695,0.988438720146037,0.994185749987249,-0.00122405263426327,0.00642234568530506,0.00520540954325083
36,0.983620446201638,0.963752075262867,0.981541496406933,0.00422713822742004,0.016379553798362,0.0205286839145107
37,0.986208920187793,0.964695752009185,0.982030679327977,0.00847333820306793,0.0137910798122066,0.0221123072446901
38,0.984185648427318,0.974555540574378,0.987113829465531,-0.00595046481909611,0.0158143515726818,0.00994051346274264
39,0.975939938519745,0.95693252956179,0.977992358046266,-0.00420603655105003,0.0240600614802554,0.019946571682992
40,0.984646676727249,0.968193548387097,0.983839774477989,0.00163896810568066,0.0153533232727511,0.0169658063670903
41,0.965800100959112,0.942081615067397,0.97017716223497,-0.00906411434728869,0.0341998990408884,0.0254059216809933
42,0.730392156862745,0.58203125,0.735802469135802,-0.0148148148148148,0.269607843137255,0.258706467661692
43,0.617647058823529,0.403846153846154,0.575342465753425,0.136986301369863,0.382352941176471,0.461538461538462
44,0.945602670362932,0.897323705473385,0.945883617945417,-0.000594219097069934,0.0543973296370683,0.053835267478064
45,0.955166114208227,0.915979590915248,0.95614754484696,-0.00205499467398169,0.0448338857917734,0.0428690056051484
46,0.978947368421053,0.96248382923674,0.980883322346737,-0.003955174686882,0.0210526315789474,0.0171730515191546
47,0.988725065047702,0.972696245733788,0.986159169550173,0.00519031141868512,0.0112749349522984,0.0163934426229508
48,0.990951638065523,0.981458590852905,0.990642545227698,0.000623830318153462,0.00904836193447738,0.00966635484876832
49,0.929046563192905,0.865702479338843,0.928017718715393,0.00221483942414175,0.0709534368070953,0.0730088495575221
50,0.985294117647059,0.963039014373717,0.981171548117155,0.00836820083682008,0.0147058823529412,0.0229166666666667
51,0.986185725249424,0.971592136530568,0.985591409631294,0.00120528132361804,0.0138142747505756,0.0150021901007446
52,0.98946835443038,0.975636545182227,0.987668048114829,0.00363893662185384,0.0105316455696203,0.0141257188981939
55,0.990508474576271,0.973351099267155,0.986495611073599,0.00810263335584065,0.00949152542372881,0.0174848688634835
56,0.993256911665543,0.982,0.990918264379415,0.00470904809956273,0.00674308833445718,0.0114093959731544
57,0.987410071942446,0.978997424212403,0.989387264717661,-0.0040048057669203,0.012589928057554,0.00862760834670947
58,0.994187211866105,0.984126984126984,0.992,0.0044,0.00581278813389457,0.0101776092596288
59,0.994469026548673,0.987429826702465,0.99367516119128,0.00159656125268652,0.00553097345132743,0.00711743772241993
60,0.9933970856102,0.985098216301648,0.992493175614195,0.00181983621474067,0.00660291438979964,0.00840909090909091
61,0.991834883193468,0.985575839531215,0.992735527809308,-0.0018161180476731,0.00816511680653209,0.00636219041127017
62,0.990441801189465,0.984378298501161,0.992127659574468,-0.00340425531914894,0.00955819881053526,0.00618073316283035
63,1,1,1,0,0,0
64,1,1,1,0,0,0
69,0.947368421052632,0.878048780487805,0.935064935064935,0.025974025974026,0.0526315789473684,0.0769230769230769
71,0.993868888539538,0.985195574255883,0.992542585760264,0.00266896930685297,0.00613111146046219,0.00878018187519599
72,0.986816720257235,0.968444304196908,0.983969220904136,0.00577108047451106,0.0131832797427653,0.0188618925831202
73,0.984761259735862,0.960369881109643,0.979784366576819,0.0101078167115903,0.0152387402641382,0.0251424740194435
75,0.94888178913738,0.886567164179105,0.939873417721519,0.0189873417721519,0.0511182108626198,0.0689655172413793
76,0.842592592592593,0.694656488549618,0.81981981981982,0.0540540540540541,0.157407407407407,0.201754385964912
100,0.952578268876611,0.908252853380158,0.951920864964343,0.00138026224982747,0.0474217311233886,0.048735632183908
101,0.975921090803597,0.942560941440179,0.97043127073417,0.011250540891389,0.0240789091964027,0.0349971313826736
102,0.958342922899885,0.905020647685286,0.950142612664005,0.0171135196805476,0.0416570771001151,0.0579185520361991
103,0.974267782426778,0.956459231875128,0.977745118622717,-0.00713835817761915,0.0257322175732218,0.0187526337968816
104,0.963389830508475,0.93241469816273,0.965025466893039,-0.0033955857385399,0.0366101694915254,0.0333333333333333
