Label,Total/Target,Jaccard,Dice,VolumeSimilarity,FalseNegative,FalsePositive
151,0.989364759988502,0.980906241094329,0.990361099122428,-0.00201409869083585,0.0106352400114976,0.00864055299539171
152,0.992246577964966,0.987144081516046,0.993530454785067,-0.00258781808597307,0.00775342203503398,0.00518234165067178
153,0.990861088545898,0.97991564571199,0.989855954554676,0.00202880908906472,0.00913891145410236,0.0111471422780705
154,0.991090058083799,0.982063030844882,0.990950353810155,0.000281920442051253,0.00890994191620143,0.00918931108354944
155,0.992028932024504,0.974056091021088,0.986857562408223,0.0104258443465492,0.00797106797549635,0.0182601709151998
156,0.987960018173557,0.977742805755396,0.988746163464817,-0.00159145163123792,0.0120399818264425,0.0104664391353811
157,0.992462311557789,0.980844271018092,0.990329512893983,0.00429799426934097,0.00753768844221105,0.0117941386704789
160,0.993775436916447,0.983416252072968,0.991638795986622,0.00430004777830865,0.00622456308355279,0.0104886769964243
161,0.983842010771993,0.969666329625885,0.984599589322382,-0.00154004106776181,0.0161579892280072,0.0146416645260724
162,0.988748241912799,0.977407021202642,0.988574441905432,0.00035155563367903,0.0112517580872011,0.0115992970123023
163,0.991266375545852,0.980326295585413,0.990065422825297,0.00242306760358614,0.00873362445414847,0.0111326234269119
164,0.991155046826223,0.982465188241362,0.991155046826223,0,0.00884495317377731,0.00884495317377731
165,0.978354978354978,0.958787878787879,0.978960396039604,-0.00123762376237624,0.0216450216450216,0.0204334365325077
166,0.987038010159397,0.979148566463944,0.989464442493415,-0.00491659350307287,0.0129619898406026,0.00809716599190283
167,0.99187145557656,0.981114435302917,0.990467201510146,0.00283152430391694,0.00812854442344045,0.010933081998115
168,0.988193143880791,0.971968604837418,0.985785070262367,0.00487369019575989,0.0118068561192085,0.0166112956810631
169,0.983803045027535,0.970985532731197,0.985279208402612,-0.00300093272233262,0.0161969549724652,0.013240191698481
170,0.994492254733219,0.984662576687117,0.992272024729521,0.00446505237849906,0.00550774526678141,0.00993831391363948
171,0.986039676708303,0.975645219920029,0.987672493100276,-0.00331186752529899,0.0139603232916973,0.0106892738665684
172,0.990390775144138,0.98534098151689,0.992616372391653,-0.00449438202247191,0.00960922485586163,0.00514800514800515
173,0.992177314211212,0.980670103092783,0.990240728692258,0.00390370852309694,0.00782268578878748,0.0116883116883117
174,0.986280487804878,0.976972442431106,0.988352109986634,-0.00420087836547642,0.013719512195122,0.00956754688097972
175,0.980566534914361,0.967815344603381,0.983644473814637,-0.00627787873781596,0.019433465085639,0.0132582035134239
176,0.986326109391125,0.973681976398676,0.98666551961459,-0.000688231245698555,0.0136738906088751,0.0129948364888124
177,0.98281056175793,0.965781454070527,0.98259290428312,0.00044292864419542,0.0171894382420698,0.0176246568063059
178,0.989567233384853,0.976362943194815,0.98804012345679,0.00308641975308642,0.0104327666151468,0.013482280431433
179,0.99498997995992,0.986423841059603,0.993165527587931,0.00366727787964661,0.00501002004008016,0.0086522462562396
180,0.988677719369187,0.978783026421137,0.989277766538539,-0.00121383775035404,0.0113222806308128,0.0101214574898785
181,0.986423943227399,0.973804447151995,0.986728395061728,-0.000617283950617284,0.013576056772601,0.0129669651126891
182,0.989505754908598,0.971472885393009,0.985530049731674,0.00803573937231323,0.0104942450914015,0.0184138355627694
183,0.988912120636127,0.974403795729804,0.987035983051919,0.0037943464238285,0.0110878793638725,0.0148330492962192
184,0.986746987951807,0.973454833597464,0.98654888576591,0.000401525798032524,0.0132530120481928,0.0136491368928141
185,0.946672743846855,0.904616724738676,0.949919963411845,-0.00686027898467871,0.0533272561531449,0.046810463515374
186,0.99025974025974,0.985778926955398,0.992838541666667,-0.00520833333333333,0.00974025974025974,0.00456919060052219
187,0.988008342022941,0.980848861283644,0.990331852626078,-0.00470342304677293,0.0119916579770594,0.00733368255631221
190,0.987062164720732,0.976279650436954,0.987997473152243,-0.00189513581806696,0.0129378352792679,0.0110654441985457
191,0.991915601169658,0.97883897250198,0.989306341853949,0.00526105106650655,0.0080843988303423,0.0132892260309131
192,0.985875706214689,0.973670444638187,0.986659598904497,-0.00159024648820567,0.0141242937853107,0.0125552608311229
193,0.98370340191485,0.969678714859438,0.984605974105413,-0.00183504944438781,0.0162965980851497,0.0144897959183673
194,0.992734994970381,0.984809845880918,0.992346796268365,0.000782079213451762,0.00726500502961887,0.00804109895018986
195,0.980698625826078,0.962722685614252,0.981007345225603,-0.000629590766002099,0.0193013741739222,0.0186837409467828
196,0.992111076049227,0.977916018662519,0.988834722440635,0.00660481207737066,0.00788892395077311,0.0144200626959248
197,0.978333705606433,0.95947426067908,0.979318054779206,-0.00201229737283399,0.0216662943935671,0.0196956132497762
198,0.988041370394312,0.970707311264587,0.985135951661631,0.00588116817724068,0.0119586296056884,0.0177524299140493
199,0.980540726709144,0.953050464474015,0.97596092042679,0.00934138921026696,0.0194592732908559,0.0285763029941141
200,0.98939427071944,0.97964707156003,0.989718910642021,-0.000656239746253965,0.0106057292805598,0.0099562363238512
201,0.976853377265239,0.949023687580026,0.973845206323137,0.00615889960993636,0.0231466227347611,0.0291444944740074
202,0.996307811892732,0.98900462962963,0.994471923188827,0.00368538454078169,0.00369218810726778,0.00735721200387222
203,0.990830310358726,0.983595078523557,0.991729702471003,-0.00181543116490166,0.00916968964127368,0.00736927114879871
204,0.988818486768543,0.978244837758112,0.989002795899348,-0.000372786579683131,0.0111815132314573,0.0108128262490679
205,0.983250766690257,0.971788295640009,0.985692325883883,-0.00496630010642072,0.0167492333097429,0.0118539592223803
206,0.984555984555985,0.970636215334421,0.985099337748344,-0.0011037527593819,0.0154440154440154,0.0143567090005522
207,0.960539296284117,0.934420985284709,0.966098892012568,-0.0115759880932694,0.0394607037158829,0.0282767797737858
